doi,title,year,citations,is_oa,type
https://doi.org/10.1016/j.corsci.2024.112219,"Hydrogen diffusivity, uptake and embrittlement of solution annealed and cold deformed austenitic stainless steel 1.4435 at hydrogen pressures up to 1000 bar and 200 °C",2024,7,True,article
https://doi.org/10.1016/j.corsci.2024.112462,Influence of convection during droplet evaporation on corrosion product distribution in CFRP-AA2024 galvanic couple: Modeling and experimental approaches,2024,7,True,article
https://doi.org/10.1016/j.corsci.2025.112695,New insights into corrosion initiation and propagation in a hot-dip Al-Zn-Mg-Si alloy coating via multiscale analytical microscopy,2025,7,True,article
https://doi.org/10.1016/j.corsci.2025.112939,Microelectrochemical identification of the submicron-sized initiation site for pitting corrosion in 17–4PH stainless steel,2025,7,True,article
https://doi.org/10.1016/j.corsci.2025.112985,In situ microscopy and electrochemical characteristics of initiation of intergranular corrosion of aging-treated Al–1Mg–0.65Si–0.8Cu alloy in 0.1 M NaCl,2025,7,True,article
https://doi.org/10.1016/j.corsci.2025.113201,Stress corrosion cracking susceptibility and propagation behavior of TC4 titanium alloy in simulated deep-sea environment,2025,7,True,article
https://doi.org/10.1016/j.corsci.2023.111209,The impact of co-deposited silicon impurity on oxidation of silicon carbide coatings in the air and in steam at high temperatures,2023,6,True,article
https://doi.org/10.1016/j.corsci.2024.112050,"Alloying effects of Al, Si and Fe on Ni-20Cr alloy oxidation in water vapour at 650 °C",2024,6,True,article
https://doi.org/10.1016/j.corsci.2024.112429,Direct evidence of hydrogen bubble evolution as an acoustic emission source in metal corrosion,2024,6,True,article
https://doi.org/10.1016/j.corsci.2025.112849,Understanding the effect of oxide ions on Solar Salt chemistry and corrosion mechanism of 316 L stainless steel at 600 °C,2025,6,True,article
https://doi.org/10.1016/j.corsci.2025.113154,Corrosion and environmental sensor response delays during monitored multi-droplet wetting: Unraveling time lags in atmospheric corrosion,2025,6,True,article
https://doi.org/10.1016/j.corsci.2025.112801,Topographical and statistical studies of the corrosion damage underneath a sulfide film formed on a Cu surface,2025,5,True,article
https://doi.org/10.1016/j.corsci.2025.112800,Effect of ageing temperature on the microstructure and localised corrosion of 15–5PH stainless steel,2025,5,True,article
https://doi.org/10.1016/j.corsci.2025.112851,Correlated chromium carbide dissociation and phase transformation in liquid lead-bismuth eutectic corroded T91 steel,2025,5,True,article
https://doi.org/10.1016/j.corsci.2025.112992,Comparative oxidation behavior of columnar and equiaxed Cr2AlC coatings,2025,5,True,article
https://doi.org/10.1016/j.corsci.2025.113080,Large language models predicting the corrosion inhibition efficiency of magnesium dissolution modulators,2025,5,True,article
https://doi.org/10.1016/j.corsci.2025.113184,Machine learning-enhanced optical monitoring for identifying pitting-susceptible zones in 316L stainless steel,2025,5,True,article
https://doi.org/10.1016/j.corsci.2024.112585,Growth mechanism of chromia scales on a model Ni-30Cr alloy at high temperatures,2024,4,True,article
https://doi.org/10.1016/j.corsci.2025.112846,In situ ICP-MS analysis of passivation process and selective dissolution of Fe-15Cr alloy in sulfuric acid,2025,4,True,article
https://doi.org/10.1016/j.corsci.2025.112909,Dealloying of Monel 400 in nuclear steam generators,2025,4,True,article
https://doi.org/10.1016/j.corsci.2025.113095,Type-II hot corrosion investigation of the DS200 +Hf superalloy at the γ/γ' scale,2025,4,True,article
https://doi.org/10.1016/j.corsci.2025.113121,Inhibitive effect of chloride on copper corrosion in dilute nitric acid,2025,4,True,article
https://doi.org/10.1016/j.corsci.2024.112248,High-temperature hot corrosion kinetics of PVD Ti1-xAlxN coatings on Nimonic c-263,2024,3,True,article
https://doi.org/10.1016/j.corsci.2023.111140,The causation of hydrogen embrittlement of duplex stainless steel: Phase instability of the austenite phase and ductile-to-brittle transition of the ferrite phase – Synergy between experiments and modelling,2023,32,True,article
https://doi.org/10.1016/j.corsci.2023.111045,Oxygen vacancy modified α-Fe2O3 nanorods provide an environment-friendly and efficient anti-corrosion passive film into polymer coating,2023,30,True,article
https://doi.org/10.1016/j.corsci.2023.111012,Living marine bacterium Tenacibaculum mesophilum D-6 inhibits crevice corrosion of X70 carbon steel,2023,25,True,article
https://doi.org/10.1016/j.corsci.2023.110960,Fungi corrosion of high-strength aluminum alloys with different microstructures caused by marine Aspergillus terreus under seawater drop,2023,24,True,article
https://doi.org/10.1016/j.corsci.2023.111093,Effect of nickel on the oxidation behavior of FeCrAl alloy in simulated PWR and BWR conditions,2023,22,True,article
https://doi.org/10.1016/j.corsci.2023.110999,Corrosion behavior and mechanism of laser powder bed fusion produced CoCrW in an acidic NaCl solution,2023,21,True,article
https://doi.org/10.1016/j.corsci.2023.111114,"In situ, real-time imaging of redox-active species on Al/Cu galvanic couple and corrosion inhibition with 2-mercaptobenzimidazole and octylphosphonic acid",2023,19,True,article
https://doi.org/10.1016/j.corsci.2023.111155,The long-term corrosion behavior of FeCrAl(Si) alloys after breakaway oxidation at 600 °C,2023,19,True,article
https://doi.org/10.1016/j.corsci.2023.111309,Predicting the parabolic growth rate constant for high-temperature oxidation of steels using machine learning models,2023,19,True,article
https://doi.org/10.1016/j.corsci.2024.112088,Manipulating nanostructure during wire arc additive manufacturing defeats hydrogen embrittlement,2024,19,True,article
https://doi.org/10.1016/j.corsci.2023.111135,Effect of Al concentration on Fe-17Cr alloy during steam oxidation at 400 °C,2023,17,True,article
https://doi.org/10.1016/j.corsci.2023.111358,Improvement of hydrogen embrittlement by void formation at coating layers of Sb-added Al-Si-coated hot-press-forming steels,2023,17,True,article
https://doi.org/10.1016/j.corsci.2023.111703,High-temperature oxidation behaviour of a Co-based superalloy fabricated through laser powder bed fusion,2023,17,True,article
https://doi.org/10.1016/j.corsci.2024.112053,The Positive impact of biomineralization for marine corrosion protection of AA5083 alloy,2024,17,True,article
https://doi.org/10.1016/j.corsci.2024.112043,"Mechanism of local hydrogen entry into Fe sheets induced by atmospheric corrosion: Significance of potential, pH, and rust layer thickness",2024,16,True,article
https://doi.org/10.1016/j.corsci.2024.111989,Insight into the corrosion behaviors and mechanism of the self-healing Si/N-DLC films in oilfield environment,2024,15,True,article
https://doi.org/10.1016/j.corsci.2023.111008,Stress corrosion crack initiation in filler metal 82 in oxygenated high-temperature water,2023,14,True,article
https://doi.org/10.1016/j.corsci.2023.111166,Localized and stress corrosion cracking of sensitized Al-Mg-Sc-Zr alloy manufactured by laser powder bed fusion,2023,14,True,article
https://doi.org/10.1016/j.corsci.2024.111880,Effect of FeCO3 corrosion product scale on hydrogen adsorption and permeation of pipeline steel in gaseous hydrogen-blended natural gas transportation,2024,14,True,article
https://doi.org/10.1016/j.corsci.2024.112274,Enhancing adhesion and durability: A biomimetic approach with dopamine-modified lignin-polydimethylsiloxane coatings,2024,14,True,article
https://doi.org/10.1016/j.corsci.2023.111057,Effect of coating degradation on the hot corrosion behaviour of directionally solidified superalloy,2023,13,True,article
https://doi.org/10.1016/j.corsci.2023.111109,Hydrogen embrittlement characteristics in cold-drawn high-strength stainless steel wires,2023,13,True,article
https://doi.org/10.1016/j.corsci.2023.111552,Unravelling the impact of CoNiCrAlY coating microstructure and composition on the formation of duplex oxide scales,2023,13,True,article
https://doi.org/10.1016/j.corsci.2024.111902,Corrosion of 316L exposed to highly concentrated borated water used as shield in nuclear fusion experimental reactors cooling circuits,2024,13,True,article
https://doi.org/10.1016/j.corsci.2024.111910,Effect of delayed inhibitor supply on AA2024-T3 intermetallic activity: A local in situ analysis with reflected microscopy,2024,13,True,article
